Ref,Val,Package,PosX,PosY,Rot,Side
"J1","691214110003","691214110003",5.657500,29.940000,-90.000000,top
"J2","691214110003","691214110003",5.737500,16.050000,-90.000000,top
"J3","691214110003","691214110003",29.777500,42.980000,180.000000,top
"J4","691214110003","691214110003",49.107500,17.030000,90.000000,top
"J5","691214110003","691214110003",48.787500,30.630000,90.000000,top
"R1","1MΩ ","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",27.717500,33.615000,180.000000,top
"R2","1MΩ ","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",13.325000,17.450000,90.000000,top
"R3","1MΩ ","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",13.492500,31.327500,90.000000,top
"R5","1MΩ ","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",34.042500,33.590000,-90.000000,top
"R6","1MΩ ","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",34.042500,17.640000,180.000000,top
"U2","C3 Pico","c3 pico",15.672500,36.070000,0.000000,top
